Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,2820WTWCCN227GA,110070244793.0,ITW CCNA PNA CONSTRUCTION TECHNOLOGIES,2027 GATEWAY BLVD,CHARLOTTE,MECKLENBURG,NC,28208,35.24323,-80.90692,ILLINOIS TOOL WORKS INC,NO,Fabricated Metals,Manganese,NO
2021,28208CHRLT1335S,110000349267.0,CHARLOTTE PIPE & FOUNDRY CO,1335 S CLARKSON ST,CHARLOTTE,MECKLENBURG,NC,28208,35.224323,-80.861806,CHARLOTTE PIPE & FOUNDRY CO,NO,Primary Metals,Manganese compounds,NO
2021,27042HLSTDHWY31,110009844865.0,WIELAND COPPER PRODUCTS LLC,3990 US 311 HWY N,PINE HALL,STOKES,NC,27042,36.342778,-80.044166,WIELAND HOLDINGS INC,NO,Primary Metals,Nickel,YES
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO
2021,2845WSLRLB333NE,110000350352.0,ENTEGRIS INC.,333 NEILS EDDY ROAD,RIEGELWOOD,COLUMBUS,NC,28456,34.32599,-78.19946,ENTEGRIS INC,NO,Chemicals,Toluene,NO
2021,2710WCTRPL295TE,110044979306.0,PROGRESS RAIL,2950 TEMPLE SCHOOL RD,WINSTON SALEM,FORSYTH,NC,27107,36.05773,-80.12248,CATERPILLAR INC,NO,Transportation Equipment,Nickel,YES
2021,28677STHRNHWY70,110000351342.0,SOUTHERN STATES COOP INC,2582 SALISBURY HWY,STATESVILLE,IREDELL,NC,28677,35.757032,-80.796343,SOUTHERN STATES COOP INC,NO,Chemicals,Manganese,NO
2021,27870CHMPNNORTH,110037266990.0,WESTROCK KRAFT PAPER LLC,100 GASTON RD,ROANOKE RAPIDS,HALIFAX,NC,27870,36.476037,-77.643173,WESTROCK CO,NO,Paper,Dioxin and dioxin-like compounds,YES
2021,27536STRNMUS1SO,110010448836.0,EASTERN MINERALS INC,170 EASTERN MINERALS RD,HENDERSON,VANCE,NC,27537,36.27084,-78.40468,NA,NO,Food,Cobalt compounds,NO
2021,27573LSNPC10475,110000492636.0,LOUISIANA PACIFIC CORP. ROXBOR O OSB,10475 BOSTON RD,ROXBORO,PERSON,NC,27574,36.52113,-78.90658,LOUISIANA PACIFIC CORP,NO,Wood Products,Formaldehyde,YES
2021,2845WSLRLB333NE,110000350352.0,ENTEGRIS INC.,333 NEILS EDDY ROAD,RIEGELWOOD,COLUMBUS,NC,28456,34.32599,-78.19946,ENTEGRIS INC,NO,Chemicals,Methanol,NO
2021,2867WSTHRN3111S,110054198033.0,SWS CONCRETE-SHERRILLS FORD ROAD PLANT,3099 STEAM PLANT ROAD,SHERRILLS FORD,CATAWBA,NC,28673,35.607933,-80.979575,STEVENSON-WEIR/SOUTHERN LLC,NO,Nonmetallic Mineral Product,Lead compounds,NO
2021,27870CHMPNNORTH,110037266990.0,WESTROCK KRAFT PAPER LLC,100 GASTON RD,ROANOKE RAPIDS,HALIFAX,NC,27870,36.476037,-77.643173,WESTROCK CO,NO,Paper,Mercury  And Mercury Compounds,NO
2021,2811WPRTPS41VAN,110064433377.0,PRO-TOPS INC.,4001 VAN DYKE CT,MONROE,UNION,NC,28110,35.06697,-80.63452,NA,NO,Nonmetallic Mineral Product,Ethylbenzene,YES
2021,27013FRGHTHWY70,110000345083.0,DAIMLER TRUCKS NA LLC-CLEVELAND,11550 STATESVILLE BLVD,CLEVELAND,ROWAN,NC,27013,35.72916,-80.68949,DAIMLER TRUCKS NORTH AMERICA LLC,NO,Transportation Equipment,Xylene (mixed isomers),NO
2021,28682DKNRG8320E,110000351397.0,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,35.5983,-80.9636,DUKE ENERGY CORP,NO,Electric Utilities,"Benzo[g,h,i]perylene",NO
2021,28174WMPLR205ED,110000349178.0,PILGRIM'S PRIDE CORP WINGATE FEED MILL,205 EDGEWOOD DR,WINGATE,UNION,NC,28174,34.983133,-80.467216,JBS USA FOOD CO,NO,Food,Copper compounds,NO
2021,28636MRCNRINTER,110007663876.0,AMERICAN ROLLER BEARING & MANUFACTURING INC,1095 MCCLAIN RD,HIDDENITE,ALEXANDER,NC,28636,35.88375,-81.09311,AMERICAN ROLLER BEARING CO,NO,Fabricated Metals,Lead,YES
2021,2817WTRNGL296US,110031274323.0,TRIANGLE BRICK-WADESBORO,2960 US HIGHWAY 52 N,WADESBORO,ANSON,NC,28170,35.019923,-80.087889,TRIANGLE BRICK CO,NO,Nonmetallic Mineral Product,Zinc compounds,NO
2021,27806TXSGLHIGHW,110000586376.0,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,POTASH HOLDING CO INC,NO,Chemicals,Selenium compounds,NO
2021,28127FBRCM181RA,110039019424.0,FIBER COMPOSITES LLC,181 RANDOM DR,NEW LONDON,STANLY,NC,28127,35.419316,-80.211766,FIBER COMPOSITES LLC,NO,Plastics and Rubber,Lead,YES
2021,28645BTLRP601HI,110000351002.0,TEIJIN AUTOMOTIVE TECHNOLOGIES NORTH CAROLINA COMPOSITES LL,601 HIBRITEN DR SW,LENOIR,CALDWELL,NC,28645,35.883,-81.5294,TEIJIN AUTOMOTIVE TECHNOLOGIES INC,NO,Plastics and Rubber,Zinc compounds,NO
2021,28306FCTPR3200N,110000349766.0,MANN + HUMMEL PUROLATOR FILTERS LLC,3200 NATAL RD,FAYETTEVILLE,CUMBERLAND,NC,28306,35.01388,-78.91885,MANN+HUMMEL USA INC,NO,Machinery,Diisocyanates,NO
2021,28677PRNML173MC,110000351306.0,PURINA ANIMAL NUTRITION LLC - STATESVILLE,173 MCNESS RD,STATESVILLE,IREDELL,NC,28677,35.75389,-80.79541,LAND O LAKES INC,NO,Food,Copper compounds,NO
2021,28273TWCKN145WE,110024942446.0,ITW COOKING EQUIPMENT,10405 WESTLAKE DR,CHARLOTTE,MECKLENBURG,NC,28273,35.14276,-80.96875,ILLINOIS TOOL WORKS INC,NO,Machinery,Manganese,NO
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Manganese compounds,NO
2021,28472CMPBL1476S,110000350398.0,CAMPBELL OIL & GAS CO.,1476 S JK POWELL BLVD,WHITEVILLE,COLUMBUS,NC,28472,34.30961,-78.71479,CAMPBELL OIL & GAS CO,NO,Petroleum Bulk Terminals,Zinc (fume or dust),NO
2021,28307DPTFRDIREC,110064176877.0,U.S. ARMY FORT BRAGG,DPW ENV COMPLIANCE BRANCH BLDG 3-1137 REILLY RD,FORT BRAGG,CUMBERLAND,NC,28310,35.15705,-79.00036,US DEPARTMENT OF DEFENSE,YES,Other,Lead  And Lead Compounds,NO
2021,28075FLRDSHWY49,110000348302.0,MAUSER USA LLC,12180 UNIVERSITY CITY BLVD,HARRISBURG,CABARRUS,NC,28075,35.31658,-80.67623,MAUSER CORP,NO,Fabricated Metals,Certain glycol ethers,NO
2021,2840WSNNCH251NR,110071284149.0,SENNECA HOLDINGS (HMF EXPRESS),2501 NORTHCHASE PKWY SE,WILMINGTON,NEW HANOVER,NC,28405,34.304473,-77.868614,SENNECA HOLDINGS,NO,Fabricated Metals,Manganese,NO
2021,27806TXSGLHIGHW,110000586376.0,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,POTASH HOLDING CO INC,NO,Chemicals,Lead  And Lead Compounds,NO
2021,27835HNDRX1101I,110002348638.0,TRIEST AG GROUP INC,1101 INDUSTRIAL BLVD,GREENVILLE,PITT,NC,27834,35.645,-77.34877,TRIEST AG GROUP INC,NO,Chemicals,"1,3-Dichloropropylene",YES
2021,27922NCRST1505R,110024423131.0,NUCOR STEEL HERTFORD COUNTY,1505 RIVER RD,COFIELD,HERTFORD,NC,27922,36.355216,-76.81115,NUCOR CORP,NO,Primary Metals,Dioxin and dioxin-like compounds,YES
2021,2780WPNCLL542EN,110060260621.0,HUBBELL LENOIR CITY ROCKY MOUNT,546 ENGLISH RD,ROCKY MOUNT,NASH,NC,27804,35.979988,-77.852888,HUBBELL INC,NO,Plastics and Rubber,Styrene,YES
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Mercury  And Mercury Compounds,NO
2021,28025CHMTX2725A,110012339941.0,HEIQ CHEMTEX INC,2725 ARMENTROUT DR,CONCORD,CABARRUS,NC,28025,35.37851,-80.57505,NA,NO,Chemicals,Nonylphenol Ethoxylates,NO
2021,28127FBRCM181RA,110039019424.0,FIBER COMPOSITES LLC,181 RANDOM DR,NEW LONDON,STANLY,NC,28127,35.419316,-80.211766,FIBER COMPOSITES LLC,NO,Plastics and Rubber,Maleic anhydride,NO
2021,28716CHMPNMAINS,110009846480.0,BLUE RIDGE PAPER PRODUCTS LLC,175 MAIN ST,CANTON,HAYWOOD,NC,28716,35.5349,-82.8421,EVERGREEN PACKAGING GROUP,NO,Paper,Acetaldehyde,YES
2021,2827WBSCHR141SL,110069234466.0,BOSCH REXROTH CORP,14001 S LAKES DR,CHARLOTTE,MECKLENBURG,NC,28273,35.10315,-80.95797,ROBERT BOSCH LLC,NO,Machinery,Lead,YES
2021,28216STNLY7300R,110000349490.0,MASONITE CHARLOTTE NC EXTERIOR DOOR,7300 REAMES RD,CHARLOTTE,MECKLENBURG,NC,28216,35.32087,-80.85226,MASONITE CORP,NO,Fabricated Metals,Diisocyanates,NO
2021,27962WYRHSTROWB,110013794000.0,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,35.861716,-76.779683,DOMTAR CORP,NO,Paper,Methanol,NO
2021,2726WFRTRS3874B,110054849321.0,FORTRESS WOOD PRODUCTS INC,3874 BETHEL DR EXT,HIGH POINT,RANDOLPH,NC,27260,35.912831,-80.043254,THE LESTER GROUP,NO,Wood Products,Copper compounds,NO
2021,2750WCRLNS1SUNR,110070500194.0,CAROLINA SUNROCK LLC - BUTNER,100 SUNROCK DR,BUTNER,GRANVILLE,NC,27509,36.1212,-78.76715,THE SUNROCK GROUP INC,NO,Nonmetallic Mineral Product,Lead  And Lead Compounds,NO
2021,27536BLLNCUSHWY,110001482887.0,ARDAGH GLASS INC,620 FACET RD,HENDERSON,VANCE,NC,27537,36.291066,-78.391883,ARDAGH HOLDINGS USA INC,NO,Nonmetallic Mineral Product,Ammonia,NO
2021,27285DRHTC1000D,110000345984.0,JOHN DEERE KERNERSVILLE LLC,1000 DEERE-HITACHI RD,KERNERSVILLE,FORSYTH,NC,27284,36.1368,-80.0922,DEERE-HITACHI CONSTRUCTION MACHINERY CORP,NO,Machinery,Manganese,NO
2021,28682DKNRG8320E,110000351397.0,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,35.5983,-80.9636,DUKE ENERGY CORP,NO,Electric Utilities,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO
2021,27870CHMPNNORTH,110037266990.0,WESTROCK KRAFT PAPER LLC,100 GASTON RD,ROANOKE RAPIDS,HALIFAX,NC,27870,36.476037,-77.643173,WESTROCK CO,NO,Paper,Ammonia,NO
2021,2814WBRLCM175CI,110067605782.0,WESTLAKE ROYAL BUILDING PRODUCTS INC - PLANT 2,175 CIRCLE M DR,SALISBURY,ROWAN,NC,28147,35.63252,-80.5305,WESTLAKE CHEMICAL CORP,NO,Plastics and Rubber,Diisocyanates,NO
2021,28025LRCHN2200S,110000545134.0,AIRGAS SPECIALTY PRODUCTS-CONCORD NC,2200 SPEEDRAIL CT,CONCORD,CABARRUS,NC,28025,35.33755,-80.61329,AIRGAS INC,NO,Chemical Wholesalers,Ammonia,NO
2021,28384SFTYKHWY30,110039005377.0,SAFETY-KLEEN SYSTEMS SAINT PAULS (STP),934 N 5TH ST,SAINT PAULS,ROBESON,NC,28384,34.817116,-78.974865,CLEAN HARBORS INC,NO,Hazardous Waste,"Benzo[g,h,i]perylene",NO
2021,28214TRNSM7401O,110000492672.0,BLANCHARD TERMINAL CO - CHARLOTTE EAST NC TERMINAL,7401 OLD MT HOLLY RD,CHARLOTTE,MECKLENBURG,NC,28214,35.277522,-80.931366,MARATHON PETROLEUM CORP,NO,Petroleum Bulk Terminals,Naphthalene,YES
2021,28214TRNSM7401O,110000492672.0,BLANCHARD TERMINAL CO - CHARLOTTE EAST NC TERMINAL,7401 OLD MT HOLLY RD,CHARLOTTE,MECKLENBURG,NC,28214,35.277522,-80.931366,MARATHON PETROLEUM CORP,NO,Petroleum Bulk Terminals,Xylene (mixed isomers),NO
2021,27419RCHRDPOBOX,110000346769.0,THE PROCTER & GAMBLE MANUFACTURING CO,100 SWING RD,GREENSBORO,GUILFORD,NC,27409,36.0742,-79.91005,THE PROCTER & GAMBLE CO,NO,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO
2021,28472CMPBL1476S,110000350398.0,CAMPBELL OIL & GAS CO.,1476 S JK POWELL BLVD,WHITEVILLE,COLUMBUS,NC,28472,34.30961,-78.71479,CAMPBELL OIL & GAS CO,NO,Petroleum Bulk Terminals,Toluene,NO
2021,2858WTRYND182IN,110024441184.0,ROWMARK CUSTOM LAMINATIONS,182 INDUSTRIAL PARK DR,TRENTON,JONES,NC,28585,35.07059,-77.36531,ROWMARK LLC,NO,Plastics and Rubber,Methyl isobutyl ketone,YES
2021,28145NVRSL358WO,110000348990.0,UFP SALISBURY LLC,358 WOODMILL RD,SALISBURY,ROWAN,NC,28147,35.59815,-80.54285,UFP INDUSTRIES INC,NO,Wood Products,Copper compounds,NO
2021,2807WKRZTR11836,110070932184.0,KURZ TRANSFER PRODUCTS. L.P. HUNTERSVILLE,11836 PATTERSON RD,HUNTERSVILLE,MECKLENBURG,NC,28078,35.38447,-80.86459,KURZ TRANSFER PRODUCTS LP,NO,Printing,Toluene,NO
2021,27042HLSTDHWY31,110009844865.0,WIELAND COPPER PRODUCTS LLC,3990 US 311 HWY N,PINE HALL,STOKES,NC,27042,36.342778,-80.044166,WIELAND HOLDINGS INC,NO,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO
2021,27262NVCHM201OL,110000345886.0,ENNIS-FLINT INC - HIGH POINT FACILITY,201 OLD THOMASVILLE RD,HIGH POINT,GUILFORD,NC,27260,35.93417,-80.02944,ENNIS-FLINT INC,NO,Chemicals,Ammonia,NO
2021,28472CMPBL1476S,110000350398.0,CAMPBELL OIL & GAS CO.,1476 S JK POWELL BLVD,WHITEVILLE,COLUMBUS,NC,28472,34.30961,-78.71479,CAMPBELL OIL & GAS CO,NO,Petroleum Bulk Terminals,Xylene (mixed isomers),NO
2021,28603CRLNS22741,110000350619.0,CAROLINA SOLVENTS INC,2274 1ST ST SE,HICKORY,CATAWBA,NC,28602,35.69927,-81.34293,NA,NO,Chemicals,Xylene (mixed isomers),NO
2021,2873WCRLNR264MI,110064433368.0,CAROLINA READY MIX & BUILDERS SUPPLY LLC,264 MILLS GAP RD,FLETCHER,HENDERSON,NC,28732,35.432394,-82.473742,CONCRETE SUPPLY CO LLC,NO,Nonmetallic Mineral Product,Lead  And Lead Compounds,NO
2021,2840WSNNCH251NR,110071284149.0,SENNECA HOLDINGS (HMF EXPRESS),2501 NORTHCHASE PKWY SE,WILMINGTON,NEW HANOVER,NC,28405,34.304473,-77.868614,SENNECA HOLDINGS,NO,Fabricated Metals,Chromium,NO
2021,27962WYRHSTROWB,110013794000.0,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,35.861716,-76.779683,DOMTAR CORP,NO,Paper,Mercury compounds,NO
2021,27502PTTRS82LUF,110000570720.0,POTTERS INDUSTRIES LLC,820 LUFKIN RD,APEX,WAKE,NC,27539,35.71365,-78.83641,POTTERS INTERMEDIATE HOLDINGS LP,NO,Nonmetallic Mineral Product,Lead,YES
2021,28150HCHSTHWY19,110000586642.0,CNA HOLDINGS LLC-SHELBY,2525 BLACKSBURG RD,GROVER,CLEVELAND,NC,28073,35.209183,-81.52975,CELANESE CORP,NO,Chemicals,Hydroquinone,NO
2021,28704DYNTR95GLE,110000351459.0,DAY INTERNATIONAL INC,95 GLENN BRIDGE RD,ARDEN,BUNCOMBE,NC,28704,35.46199,-82.52031,FLINT GROUP NORTH AMERICA CORP,NO,Plastics and Rubber,Styrene,YES
2021,28311KLLYS6650R,110000349784.0,THE GOODYEAR TIRE & RUBBER CO FAYETTEVILLE PLANT,6650 RAMSEY ST,FAYETTEVILLE,CUMBERLAND,NC,28311,35.17187,-78.86062,THE GOODYEAR TIRE & RUBBER CO,NO,Plastics and Rubber,"Benzo[g,h,i]perylene",NO
2021,28603CNTRY42012,110009717869.0,CENTURY FURNITURE CASEGOODS PLANT NO 1,420 12TH ST NW,HICKORY,CATAWBA,NC,28601,35.737818,-81.360176,RHF INVESTMENTS INC,NO,Furniture,Dioxin and dioxin-like compounds,YES
2021,28730TYCLC1396C,110012707295.0,TYCO ELECTRONICS/CIID,1396 CHARLOTTE HWY,FAIRVIEW,BUNCOMBE,NC,28730,35.52355,-82.40737,TE CONNECTIVITY LTD,NO,Electrical Equipment,Lead,YES
2021,27806TXSGLHIGHW,110000586376.0,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,POTASH HOLDING CO INC,NO,Chemicals,Dioxin and dioxin-like compounds,YES
2021,28645NPTCNHIGHW,110000351020.0,NEPTCO INC,2012 HICKORY BLVD,LENOIR,CALDWELL,NC,28645,35.88018,-81.51292,CHASE CORP,NO,Plastics and Rubber,Toluene,NO
2021,28716CHMPNMAINS,110009846480.0,BLUE RIDGE PAPER PRODUCTS LLC,175 MAIN ST,CANTON,HAYWOOD,NC,28716,35.5349,-82.8421,EVERGREEN PACKAGING GROUP,NO,Paper,Dioxin and dioxin-like compounds,YES
2021,28214MRCNC8309W,110000349436.0,DYSTAR CAROLINA CHEMICAL CORP,8309 WILKINSON BLVD,CHARLOTTE,MECKLENBURG,NC,28214,35.24147,-80.98285,DYSTAR LP,NO,Chemicals,Ethylene glycol,NO
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Polycyclic aromatic compounds,YES
2021,28273TWCKN145WE,110024942446.0,ITW COOKING EQUIPMENT,10405 WESTLAKE DR,CHARLOTTE,MECKLENBURG,NC,28273,35.14276,-80.96875,ILLINOIS TOOL WORKS INC,NO,Machinery,Nickel,YES
2021,27284HGHLN215DR,110000345966.0,TEX-TECH COATINGS LLC,215 DRUMMOND ST,KERNERSVILLE,FORSYTH,NC,27284,36.11828,-80.07025,TEXTECH INDUSTRIES,NO,Textiles,Toluene,NO
2021,27922NCRST1505R,110024423131.0,NUCOR STEEL HERTFORD COUNTY,1505 RIVER RD,COFIELD,HERTFORD,NC,27922,36.355216,-76.81115,NUCOR CORP,NO,Primary Metals,Copper  And Copper Compounds,NO
2021,28682DKNRG8320E,110000351397.0,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,35.5983,-80.9636,DUKE ENERGY CORP,NO,Electric Utilities,Vanadium compounds,NO
2021,27371TRYLM110LE,110009857397.0,TROY LUMBER CO,110 LESLIE ST,TROY,MONTGOMERY,NC,27371,35.367295,-79.893595,NA,NO,Wood Products,Methanol,NO
2021,28052WXDNCNORTH,110000586544.0,MANN+HUMMEL FILTRATION TECHNOLOGY - ALLEN PLANT,2900 NW BLVD,GASTONIA,GASTON,NC,28052,35.27638,-81.22267,MANN+HUMMEL USA INC,NO,Transportation Equipment,Lead,YES
2021,28306WSTNG2900D,110000349775.0,EATON - FAYETTEVILLE,2900 DOC BENNETT RD,FAYETTEVILLE,CUMBERLAND,NC,28306,34.99451,-78.89144,EATON CORP,NO,Electrical Equipment,Lead,YES
2021,28677CLRKQI77I4,110010283996.0,CLARK EQUIPMENT DBA DOOSAN INFRACORE CONSTRUCTION EQUIPMENT,1293 GLENWAY DR,STATESVILLE,IREDELL,NC,28625,35.81027,-80.86413,NA,NO,Machinery,Ethylene glycol,NO
2021,28451VCTLC2010E,110001493642.0,VICTAULIC CO - LELAND FACILITY,2010 ENTERPRISE DR,LELAND,BRUNSWICK,NC,28451,34.25922,-78.07056,VICTAULIC CO,NO,Fabricated Metals,Lead  And Lead Compounds,NO
2021,28682DKNRG8320E,110000351397.0,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,35.5983,-80.9636,DUKE ENERGY CORP,NO,Electric Utilities,Cobalt compounds,NO
2021,27102JHNSN2701W,110000345270.0,CLARIOS LLC,2701 JOHNSON CONTROLS DR,KERNERSVILLE,FORSYTH,NC,27284,36.11901,-80.16126,CLARIOS LLC,NO,Electrical Equipment,Arsenic  And Arsenic Compounds,NO
2021,27317RRWNT200CO,110001487686.0,ARROW INTERNATIONAL INC,312 COMMERCE PL,ASHEBORO,RANDOLPH,NC,27203,35.77845,-79.81504,TELEFLEX INC,NO,Miscellaneous Manufacturing,Ethylene oxide,YES
2021,27215BRLNGWILLO,110000345617.0,APOLLO CHEMICAL,2001 WILLOW SPRINGS LANE,BURLINGTON,ALAMANCE,NC,27215,36.05238,-79.48512,MOUNT VERNON MILLS INC,NO,Chemicals,Ethylene glycol,NO
2021,27962WYRHSTROWB,110013794000.0,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,35.861716,-76.779683,DOMTAR CORP,NO,Paper,Hydrogen sulfide,NO
2021,2788WCNCMR1653W,110070083321.0,ICONIC MARINE GROUP LLC,1653 WHICHARDS BEACH ROAD,WASHINGTON,BEAUFORT,NC,27889,35.553,-77.0291,NA,NO,Transportation Equipment,Styrene,YES
2021,27870CHMPNNORTH,110037266990.0,WESTROCK KRAFT PAPER LLC,100 GASTON RD,ROANOKE RAPIDS,HALIFAX,NC,27870,36.476037,-77.643173,WESTROCK CO,NO,Paper,Lead  And Lead Compounds,NO
2021,27922NCRST1505R,110024423131.0,NUCOR STEEL HERTFORD COUNTY,1505 RIVER RD,COFIELD,HERTFORD,NC,27922,36.355216,-76.81115,NUCOR CORP,NO,Primary Metals,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),NO
2021,2839WTRKYM564TU,110043582138.0,TURKEYMILL,5604 TURKEY HWY,TURKEY,SAMPSON,NC,28393,34.98652,-78.22031,NA,NO,Food,Copper compounds,NO
2021,28677CLRKQI77I4,110010283996.0,CLARK EQUIPMENT DBA DOOSAN INFRACORE CONSTRUCTION EQUIPMENT,1293 GLENWAY DR,STATESVILLE,IREDELL,NC,28625,35.81027,-80.86413,NA,NO,Machinery,Lead,YES
2021,27409MPNCB233BU,110008972745.0,BRENNTAG MID-SOUTH,2 HCI BLVD,GREENSBORO,GUILFORD,NC,27409,36.06525,-79.87939,BRENNTAG NORTH AMERICA INC,NO,Chemical Wholesalers,n-Butyl alcohol,NO
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Catechol,YES
2021,27804LCNCN400JE,110000347492.0,KABA ILCO CORP,400 JEFFERYS RD,ROCKY MOUNT,NASH,NC,27801,35.98742,-77.78704,KABA ILCO CORP,NO,Fabricated Metals,Lead  And Lead Compounds,NO
2021,2721WCNCRT225HA,110060261318.0,CONCRETE SUPPLY CO.  LLC - HATCHERY RD,2250 HATCHERY RD,BURLINGTON,ALAMANCE,NC,27215,36.06277,-79.46671,CONCRETE SUPPLY CO LLC,NO,Nonmetallic Mineral Product,Lead  And Lead Compounds,NO
2021,28456FDRLPRIEGE,110009719304.0,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,34.3522,-78.2125,INTERNATIONAL PAPER CO,NO,Paper,Cresol (mixed isomers),NO
2021,27894XPRTL2400S,110024422828.0,ALLIANCE ONE INTERNATIONAL INC,2400 STANTONSBURG RD,WILSON,WILSON,NC,27894,35.690995,-77.89079,PYXUS INTERNATIONAL INC,NO,Tobacco,Nicotine and salts,NO
2021,27052DKNRGPINEH,110000604141.0,DUKE ENERGY CAROLINAS LLC - BELEWS CREEK STEAM STATION,3195 PINE HALL RD,WALNUT COVE,STOKES,NC,27052,36.281338,-80.059438,DUKE ENERGY CORP,NO,Electric Utilities,"Benzo[g,h,i]perylene",NO
2021,28704DYNTR95GLE,110000351459.0,DAY INTERNATIONAL INC,95 GLENN BRIDGE RD,ARDEN,BUNCOMBE,NC,28704,35.46199,-82.52031,FLINT GROUP NORTH AMERICA CORP,NO,Plastics and Rubber,Diisocyanates,NO
2021,28337CMPBL1106W,110000349891.0,CAMPBELL OIL & GAS CO.,1106 W BROAD ST,ELIZABETHTOWN,BLADEN,NC,28337,34.63212,-78.616874,CAMPBELL OIL & GAS CO,NO,Petroleum Bulk Terminals,Benzene,YES
2021,2710WCNTRL195AP,110055497859.0,CENTRAL CAROLINA CONCRETE LLC WINSTON-SALEM,195 APAC ST,WINSTON SALEM,FORSYTH,NC,27107,36.056769,-80.208089,CONCRETE SUPPLY CO LLC,NO,Nonmetallic Mineral Product,Lead  And Lead Compounds,NO
2021,2814WCRLNC1E17T,110012476043.0,CHROMA COLOR CORP,100 E 17TH ST,SALISBURY,ROWAN,NC,28144,35.680857,-80.44874,CHROMA COLOR CORP,NO,Plastics and Rubber,Antimony  And Antimony Compounds,NO
2021,2867WMNTRF226WF,110001495141.0,MOUNTAIRE FARMS INC.- STATESVILLE FEED MILL,2206 W FRONT ST,STATESVILLE,IREDELL,NC,28677,35.78991,-80.92589,MOUNTAIRE FARMS INC,NO,Food,Zinc compounds,NO
2021,28682DKNRG8320E,110000351397.0,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,35.5983,-80.9636,DUKE ENERGY CORP,NO,Electric Utilities,Dioxin and dioxin-like compounds,YES
2021,27536STRNMUS1SO,110010448836.0,EASTERN MINERALS INC,170 EASTERN MINERALS RD,HENDERSON,VANCE,NC,27537,36.27084,-78.40468,NA,NO,Food,Manganese  And Manganese Compounds,NO
2021,27922NCRST1505R,110024423131.0,NUCOR STEEL HERTFORD COUNTY,1505 RIVER RD,COFIELD,HERTFORD,NC,27922,36.355216,-76.81115,NUCOR CORP,NO,Primary Metals,Lead  And Lead Compounds,NO
